# Constructed from biom file
#OTU ID	SRR10120012	SRR10120013	SRR10120014	SRR10120015	SRR10120016	SRR10120017	SRR10120018	SRR10120019	SRR10120020	SRR10120021	SRR10120022	SRR10120023	SRR10120024	SRR10120025	SRR10120026	SRR10120027	SRR10120028	SRR10120029	SRR10120030	SRR10120031	SRR10120032	SRR10120033	SRR10120034	SRR10120035	SRR10120036	SRR10120037	SRR10120038	SRR10120039	SRR10120040	SRR10120041	SRR10120042	SRR10120043	SRR10120044	SRR10120045	SRR10120046	SRR10120047	SRR10120048	SRR10120049	SRR10120050	SRR10120051	SRR10120052	SRR10120053	SRR10120054	SRR10120055	SRR10120056	SRR10120057	SRR10120058	SRR10120059	SRR10120060	SRR10120061	SRR10120062	SRR10120063	SRR10120064	SRR10120065	SRR10120066	SRR10120067	SRR10120068	SRR10120069	SRR10120070	SRR10120071	SRR10120072	SRR10120073	SRR10120074	SRR10120075	SRR10120076	SRR10120077	SRR10120078	SRR10120079	SRR10120080	SRR10120081	SRR10120082	SRR10120083	SRR10120084	SRR10120085	SRR10120086	SRR10120087	SRR10120088	SRR10120089	SRR10120090	SRR10120091	SRR10120092	SRR10120093	SRR10120094	SRR10120095	SRR10120096	SRR10120097	SRR10120098	SRR10120099	SRR10120100	SRR10120101	SRR10120102	SRR10120103	SRR10120104	SRR10120105	SRR10120106	SRR10120107	SRR10120108	SRR10120109	SRR10120110	SRR10120111	SRR10120112	SRR10120113	SRR10120114	SRR10120115	SRR10120116	SRR10120117	SRR10120118	SRR10120119	SRR10120120	SRR10120121	SRR10120122	SRR10120123	SRR10120124
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;__	300.0	5510.0	78.0	9170.0	3746.0	23.0	123.0	8.0	2282.0	11240.0	3542.0	1037.0	47.0	182.0	473.0	787.0	45.0	1127.0	219.0	2002.0	8375.0	2168.0	39.0	1295.0	2995.0	7717.0	5363.0	2770.0	79.0	2990.0	3654.0	86.0	2218.0	35.0	905.0	929.0	30.0	28613.0	1665.0	92.0	2003.0	11426.0	2132.0	553.0	1222.0	1740.0	20.0	1073.0	2890.0	4255.0	4840.0	75.0	610.0	3626.0	80.0	4827.0	2503.0	3300.0	1137.0	2614.0	992.0	1201.0	3460.0	33.0	21.0	458.0	185.0	11427.0	4025.0	94.0	693.0	35.0	5770.0	530.0	7495.0	4720.0	8677.0	549.0	746.0	1996.0	3072.0	1350.0	590.0	54.0	335.0	1941.0	859.0	11913.0	5347.0	9177.0	0.0	2398.0	380.0	340.0	7074.0	1967.0	21.0	3883.0	1630.0	86.0	64.0	50.0	4895.0	1325.0	2107.0	711.0	12.0	486.0	2168.0	11.0	1997.0	2168.0	2162.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;__	2319.0	8521.0	1409.0	3436.0	818.0	92.0	124.0	4318.0	13573.0	3213.0	13113.0	3798.0	5538.0	4208.0	1781.0	15248.0	93.0	4111.0	5317.0	5885.0	9953.0	733.0	3620.0	7745.0	19526.0	3654.0	1884.0	8523.0	14434.0	12105.0	10964.0	5296.0	14354.0	7325.0	10548.0	3017.0	9398.0	2307.0	3999.0	85.0	1979.0	5459.0	10851.0	3742.0	756.0	594.0	37.0	6268.0	6086.0	6258.0	2066.0	8350.0	12108.0	8453.0	641.0	11298.0	9381.0	5007.0	3521.0	3787.0	613.0	12505.0	9050.0	12.0	51.0	9096.0	4800.0	1563.0	1629.0	9456.0	8675.0	6028.0	7876.0	3136.0	36.0	1489.0	2026.0	5474.0	7846.0	15576.0	11658.0	769.0	22.0	7380.0	2652.0	10052.0	6347.0	115.0	7901.0	8551.0	4497.0	5587.0	923.0	7251.0	8538.0	8021.0	1365.0	1979.0	9836.0	502.0	109.0	3913.0	8966.0	8032.0	2028.0	8419.0	52.0	8051.0	2870.0	10.0	17284.0	2650.0	5948.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia;__	30.0	502.0	712.0	737.0	6364.0	34.0	14380.0	480.0	145.0	190.0	42.0	140.0	128.0	126.0	0.0	98.0	1751.0	733.0	287.0	705.0	167.0	432.0	1226.0	73.0	256.0	113.0	12.0	82.0	568.0	303.0	63.0	692.0	200.0	4946.0	325.0	147.0	8.0	570.0	607.0	1641.0	678.0	134.0	84.0	104.0	2807.0	922.0	941.0	359.0	228.0	123.0	1338.0	83.0	1701.0	2833.0	40.0	1220.0	351.0	107.0	14.0	678.0	3362.0	372.0	1105.0	1088.0	3655.0	1358.0	790.0	1143.0	365.0	301.0	1068.0	18.0	190.0	427.0	860.0	333.0	2368.0	197.0	227.0	473.0	52.0	189.0	580.0	350.0	192.0	140.0	115.0	0.0	49.0	249.0	382.0	207.0	1570.0	121.0	755.0	53.0	701.0	681.0	197.0	1649.0	22702.0	184.0	84.0	1907.0	1111.0	156.0	85.0	44.0	296.0	33.0	264.0	275.0	98.0
d__Bacteria;__;__;__;__;__;__	852.0	601.0	14.0	1042.0	1090.0	1028.0	6733.0	2790.0	829.0	5319.0	5174.0	0.0	2.0	4798.0	2253.0	10884.0	1029.0	1336.0	1031.0	1455.0	1113.0	281.0	1006.0	1192.0	2.0	626.0	830.0	0.0	0.0	6.0	1325.0	914.0	0.0	546.0	3561.0	0.0	1822.0	3826.0	0.0	554.0	1638.0	1744.0	1429.0	3.0	1546.0	0.0	1548.0	5533.0	463.0	5779.0	2845.0	0.0	0.0	755.0	1699.0	342.0	438.0	4255.0	750.0	0.0	432.0	0.0	8.0	1410.0	0.0	1457.0	1559.0	478.0	2158.0	3241.0	6030.0	0.0	0.0	308.0	0.0	732.0	0.0	392.0	0.0	0.0	4837.0	564.0	2893.0	3359.0	3164.0	0.0	3193.0	800.0	3.0	429.0	875.0	413.0	0.0	0.0	0.0	394.0	0.0	942.0	5295.0	0.0	0.0	0.0	5870.0	821.0	6048.0	6918.0	0.0	2513.0	914.0	1565.0	4716.0	1576.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__	57.0	934.0	149.0	227.0	1427.0	1045.0	189.0	484.0	944.0	131.0	509.0	8281.0	1508.0	105.0	115.0	525.0	1920.0	2033.0	129.0	1304.0	162.0	2101.0	1034.0	233.0	378.0	52.0	1295.0	2323.0	1289.0	171.0	422.0	506.0	3063.0	525.0	933.0	120.0	56.0	72.0	1111.0	4023.0	4940.0	415.0	594.0	26.0	239.0	7498.0	11600.0	2895.0	3594.0	2088.0	134.0	1688.0	443.0	5624.0	741.0	121.0	326.0	1164.0	1161.0	1639.0	1713.0	419.0	931.0	8227.0	3022.0	208.0	135.0	105.0	92.0	2016.0	289.0	1666.0	84.0	138.0	3413.0	221.0	238.0	216.0	872.0	509.0	738.0	769.0	7308.0	810.0	181.0	51.0	1316.0	0.0	463.0	1793.0	2147.0	34.0	632.0	225.0	232.0	246.0	21.0	520.0	4927.0	4198.0	103.0	453.0	7704.0	3567.0	3572.0	7420.0	73.0	2096.0	740.0	1235.0	470.0	1086.0	29.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	49.0	489.0	80.0	358.0	580.0	6544.0	285.0	148.0	145.0	26.0	90.0	820.0	98.0	27.0	83.0	465.0	491.0	379.0	79.0	952.0	23.0	2722.0	114.0	103.0	545.0	20.0	298.0	515.0	561.0	50.0	139.0	133.0	385.0	727.0	1112.0	96.0	3340.0	94.0	58.0	7652.0	570.0	37.0	277.0	1065.0	67.0	2192.0	1458.0	866.0	3648.0	566.0	607.0	26.0	372.0	507.0	662.0	71.0	121.0	181.0	396.0	563.0	539.0	66.0	556.0	529.0	5216.0	43.0	26.0	91.0	115.0	273.0	396.0	9229.0	121.0	96.0	2196.0	34.0	239.0	62.0	231.0	166.0	418.0	264.0	1048.0	332.0	26.0	24.0	194.0	2338.0	68.0	66.0	804.0	25.0	639.0	75.0	308.0	99.0	17.0	301.0	1285.0	466.0	3758.0	97.0	875.0	1194.0	1018.0	3178.0	31.0	367.0	226.0	597.0	171.0	1071.0	44.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__;__	118.0	17.0	6816.0	3531.0	321.0	0.0	395.0	57.0	2191.0	0.0	853.0	907.0	0.0	266.0	263.0	1296.0	0.0	0.0	102.0	306.0	240.0	18.0	8030.0	18.0	19.0	203.0	9.0	100.0	26.0	23.0	5389.0	610.0	1284.0	4.0	1479.0	0.0	11489.0	198.0	0.0	0.0	4870.0	4920.0	0.0	19.0	946.0	15.0	0.0	4075.0	297.0	1894.0	0.0	118.0	949.0	2181.0	371.0	1295.0	602.0	455.0	170.0	0.0	95.0	1174.0	978.0	0.0	8.0	895.0	4.0	29.0	184.0	0.0	3647.0	22.0	329.0	46.0	6.0	10.0	1570.0	377.0	174.0	974.0	1564.0	65.0	0.0	804.0	56.0	227.0	5.0	0.0	0.0	1670.0	4098.0	0.0	589.0	342.0	1415.0	763.0	0.0	18.0	329.0	321.0	14.0	4.0	233.0	5.0	0.0	0.0	15.0	0.0	2967.0	10.0	53.0	0.0	16.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;__	699.0	862.0	353.0	279.0	489.0	95.0	2714.0	201.0	488.0	157.0	249.0	1036.0	1698.0	46.0	749.0	164.0	1388.0	679.0	146.0	1801.0	721.0	1728.0	186.0	293.0	235.0	789.0	234.0	551.0	718.0	551.0	447.0	692.0	786.0	85.0	460.0	440.0	57.0	207.0	624.0	1452.0	434.0	932.0	264.0	3304.0	3576.0	2592.0	70.0	2968.0	1161.0	2813.0	758.0	123.0	2311.0	903.0	3402.0	883.0	3540.0	1584.0	502.0	7579.0	475.0	1395.0	720.0	2993.0	228.0	853.0	608.0	267.0	413.0	1031.0	2413.0	1290.0	1765.0	1087.0	79.0	780.0	737.0	2179.0	583.0	888.0	873.0	3136.0	2370.0	127.0	160.0	341.0	766.0	4083.0	1594.0	1481.0	594.0	270.0	3361.0	362.0	1958.0	509.0	78.0	2115.0	2556.0	4798.0	4486.0	315.0	692.0	773.0	538.0	609.0	67.0	911.0	685.0	45.0	1244.0	1687.0	128.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;__	12971.0	6921.0	448.0	1442.0	108.0	47.0	74.0	83.0	3326.0	2233.0	3364.0	402.0	2170.0	5405.0	306.0	0.0	23.0	1203.0	504.0	521.0	1213.0	156.0	229.0	636.0	3156.0	836.0	896.0	838.0	36.0	552.0	939.0	2294.0	1060.0	28.0	1654.0	829.0	0.0	379.0	371.0	0.0	2091.0	1023.0	519.0	3561.0	179.0	659.0	0.0	123.0	754.0	162.0	5050.0	23.0	165.0	386.0	606.0	1473.0	1857.0	1978.0	569.0	1470.0	32.0	130.0	2250.0	0.0	100.0	1111.0	1026.0	280.0	512.0	874.0	231.0	0.0	1597.0	5652.0	0.0	329.0	237.0	1657.0	272.0	1299.0	323.0	44.0	75.0	844.0	127.0	649.0	1726.0	96.0	1093.0	434.0	1496.0	795.0	35.0	459.0	545.0	1122.0	46.0	332.0	40.0	83.0	0.0	1692.0	313.0	921.0	659.0	1273.0	0.0	268.0	1932.0	0.0	603.0	984.0	726.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group;__	23.0	21.0	42.0	205.0	88.0	0.0	98.0	702.0	0.0	3.0	23.0	51.0	0.0	114.0	33.0	811.0	0.0	0.0	92.0	476.0	0.0	4.0	72.0	703.0	8.0	309.0	4.0	58.0	0.0	6.0	129.0	0.0	135.0	0.0	519.0	0.0	0.0	8.0	94.0	0.0	0.0	133.0	328.0	4.0	2.0	0.0	0.0	233.0	623.0	389.0	0.0	4.0	14.0	0.0	3774.0	1941.0	355.0	168.0	0.0	7.0	0.0	198.0	67.0	0.0	12.0	507.0	112.0	141.0	682.0	239.0	18.0	2.0	90.0	122.0	0.0	576.0	144.0	62.0	74.0	41.0	372.0	9.0	0.0	4714.0	99.0	107.0	3.0	0.0	6.0	53.0	9924.0	147.0	10.0	1990.0	22.0	44.0	0.0	2177.0	53.0	0.0	6.0	333.0	58.0	0.0	5160.0	235.0	8.0	42.0	68.0	7.0	0.0	70.0	64.0
